;;604420;PD Fel GIBio Ckn&VgStew 24x82g cs;PD Biome рагу д/кош ЖКТ-Биом кур 24/82г;83,57
;;603877;PD Fel i/d Ckn&VgStew 24x82g cs;PD i/d рагу д/кош д/ЖКТ кур 24/82г;75,98
;;603879;PD Fel k/d Ckn&VgStew 24x82g cs;PD k/d рагу д/кош д/почек 24/82г;80,92
;;;;;
;Hill's Science Plan Feline (pouches) - повседневный корм для кошек (нежные кусочки в соусе);;;;
;;604034;SP Ktn Ckn 12x85g pou cs;SP пауч д/котят (курица) 12/85г;71,46
;;604035;SP Ktn Tk 12x85g pou cs;SP пауч д/котят (индейка) 12/85г;71,46
;;604038;SP Ktn OF 12x85g pou cs;SP пауч д/котят (рыба) 12/85г;71,46
;;604003;SP Fel Adt Ckn 12x85g pou cs;SP пауч д/взр кош (курица) 12/85г;71,46
;;604007;SP Fel Adt OF 12x85g pou cs;SP пауч д/взр кош (рыба) 12/85г;71,46
;;604000;SP Fel Adt Bf 12x85g pou cs;SP пауч д/взр кош (говядина) 12/85г;71,46
;;604005;SP Fel Adt Tk 12x85g pou cs;SP пауч д/взр кош (индейка) 12/85г;71,46
;;604013;SP Fel YA SteC Tk 12x85g pou cs;SP пауч д/стер.кош 6мес-6лет(инд) 12/85г;74,23
;;604011;SP Fel YA SteC Trout 12x85g pou cs;SP пауч д/стер.кош 6мес-6лет(фор) 12/85г;74,23
;;603993;SP Fel A7+ YV Ckn 12x85g cs;SP пауч д/взр кош юность (кур)12/85г;75,43
;;603988;SP Fel A7+ YV Sal 12x85g cs;SP пауч д/взр кош юность (лос)12/85г;75,43
;;603992;SP Fel YA SteC Ckn 12x85g pou cs;SP пауч д/стер.кош 6мес-6лет(кур) 12/85г;74,23
;;603989;SP Fel YA SteC Sal 12x85g pou cs;SP пауч д/стер.кош 6мес-6лет(лос) 12/85г;74,23
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
